;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames;Le diable est mort
;;;;;;;;;DEPOT SURNOM : >;ames;diable
;;;;;;;;;DEPOT TYPE : >;Flyer;Brochure
;;;;;;;;;DEPOT QUANTITEE : >;2660;1840
;;;;;;;;;DEPOT VOLUME : >;99.0;999.0
;;;;;;;;;DEPOT CARTONS : >;2;5
;;;;;;;;;DEPOT REMARQUE : >;ha oui;ha non 
;;;;;;;;;DEPOT POID CARTONS : >;12;11
;;;;;;;;;DEPOT NB PAQUET : >;10;32
;;;;;;;;;DEPOT PRIX : >;0.5;0.9
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;
;;;ASSOCIATION 59 RUE DE RIVOLI;59 rue de Rivoli  ;75001;Paris;;;;15;10
;;;ECOLE DESSIN TECH /ARTISTIQUE SORNAS;108 rue Saint Honoré;75001;Paris;;;;15;10
;;;ECOLE DU LOUVRE;Palais du Louvre Porte Jaujard;75001;Paris;;;;15;10
;;;ESAD ;Forum des Halles;75001;Paris;;;;15;10
;;;FORUM DES IMAGES;Porte Saint Eustache Place Carrée Forum des Halles;75001;Paris;;;;15;10
;;;IESA;5, avenue de l’Opéra;75001;Paris;;;;15;10
